Name                                                                                 , Address                          , City               , Postcode, Phone                        , Website                                                                                                      , Emails                                                                               , Source
Dr. Stein / Rollmann                                                                 , Im Tannengrund 6                 , Großostheim        ,    63762, +49 6026 47 97               , https://hausaerzte-bachgau.de/                                                                               , joerg@joerx.de                                                                       , osm/Darmstadt
Praxis am Marbachweg                                                                 , Marbachweg 260a                  , Frankfurt am Main  ,    60320, +49 69 561575                , https://www.praxis-am-marbachweg.de/                                                                         , info@praxis-am-marbachweg.de                                                         , osm/Darmstadt
"Arzt, Allgemeinmedizin Rudi Schüler"                                                , Sandstraße 4                     , Riedstadt          ,    64560, +49615899060                 ,                                                                                                              ,                                                                                      , osm/Darmstadt
Praxis für Allgemeinmedizin Diabetologie / Sportmedizin                              , Am Rodelberg 10                  , Mainz              ,    55131, +49 6131 489560              , https://hausarztpraxis-oberstadt.de/                                                                         , info@hausarztpraxis-oberstadt.de                                                     , osm/Darmstadt
Dr. Gerhard Wetzig / Dr. Carl-Reinhardt Albilt                                       , Nibelungenstraße 103             , Lindenfels         ,    64678, +49 6255 2478                ,                                                                                                              ,                                                                                      , osm/Darmstadt
Privatärztlicher Notdienst und Privatpraxis Dr. Schneider-Rothhaar                   , Bismarckstraße 37                , Darmstadt          ,         , +49 6151 2731200             , https://notarzt-darmstadt.de/                                                                                , gesundheitszentrum.stadtvilla@yahoo.de                                               , osm/Darmstadt
Bechtle und Schoo                                                                    , Offenbacher Straße 60            , Dietzenbach        ,    63128, +49 6074 45979               ,                                                                                                              ,                                                                                      , osm/Darmstadt
Lüder-Lühr                                                                           ,                                  , Darmstadt          ,         , +49 6074 492322              , http://www.praxis-lueder-luehr.de/                                                                           , info@praxis-lueder-luehr.de                                                          , osm/Darmstadt
Dr. Maria Bergmann                                                                   , Mühlheimer Straße 17             , Mühlheim am Main   ,    63165,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Porikis                                                                              , Kirchstraße 2                    , Biblis             ,    68647,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Arztpraxis Isabella Förster                                                          , Gallische Straße 1               , Dietzenbach        ,    63128,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Dr. Fadil Avdiu                                                                      , Taunusring 7                     , Messel             ,    64409, +49 6159 277                 ,                                                                                                              ,                                                                                      , osm/Darmstadt
Dr. med. Thomas Teigesser                                                            ,                                  , Darmstadt          ,         , +49 6253 3843                ,                                                                                                              ,                                                                                      , osm/Darmstadt
Dr. Ziya Argon                                                                       ,                                  , Darmstadt          ,         , +49 6151 372333              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Hausärztliche Praxis Dr. Karl-Heinz Stork                                            , Hauptstraße 11                   , Fürth              ,    64658, +49 6253 5431                ,                                                                                                              ,                                                                                      , osm/Darmstadt
Andreas Wesolowski                                                                   ,                                  , Darmstadt          ,         , +49 6107 5248                ,                                                                                                              ,                                                                                      , osm/Darmstadt
Gemeinschaftspraxis Weisenau Dr.med. C. Beyer & B. Ihmels                            , Göttelmannstraße 2 b             , Mainz              ,    55130, +49 6131 81311               , https://gemeinschaftspraxis-weisenau.de/                                                                     , info@gemeinschaftspraxis-weisenau.de                                                 , osm/Darmstadt
Hausarztzentrum Groß-Zimmern                                                         ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Hausarzt: Vock                                                                       ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Wolfgang Zobel Praktischer Arzt                                                      ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Dr. med. Elena Deipenbrock                                                           , Ernst-Ludwig-Straße 25           , Einhausen          ,    64683,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Dr. med. Marc Wermann                                                                , Ernst-Ludwig-Straße 25           , Einhausen          ,    64683,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Ärztlicher Bereitschaftsdienst                                                       , Babenhäuser Straße 29            , Darmstadt          ,         , +49 6074 19292               , https://www.bereitschaftsdienst-hessen.de/                                                                   ,                                                                                      , osm/Darmstadt
Dr. med. Angela Maria Beck                                                           , Wittmannstraße 1                 , Darmstadt          ,    64285,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Valentin Braun                                                                       , Wittmannstraße 1                 , Darmstadt          ,    64285, +49 6151 61679               ,                                                                                                              ,                                                                                      , osm/Darmstadt
Ärztlicher Bereitschaftsdienst                                                       , Grafenstraße 9                   , Darmstadt          ,         ,                              , https://www.bereitschaftsdienst-hessen.de                                                                    ,                                                                                      , osm/Darmstadt
Gemeinschaftspraxis Steinschönauerstrasse                                            , Steinschönauer Straße 4          , Groß-Umstadt       ,    64823,                              , www.xn--praxis-steinschnauerstrasse-3yc.de                                                                   ,                                                                                      , osm/Darmstadt
Hausärztliche Gemeinschaftspraxis Dagmar Plumpe & Gerda Starl                        ,                                  , Darmstadt          ,         , +49 6074 23423               , https://www.praxis-dietzenbach.de/                                                                           , martin@starl.de; info@praxis-dietzenbach.de                                          , osm/Darmstadt
Dr.med.Oster                                                                         ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Arztpraxis Oliver Düll                                                               ,                                  , Darmstadt          ,         ,                              , https://www.praxis-duell.de/                                                                                 ,                                                                                      , osm/Darmstadt
Fr. Dr. Frühauf                                                                      ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
"Hausarztpraxis Maike Korell, Holger Helfrich"                                       , Holzhofallee 24                  , Darmstadt          ,    64295,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
"Dr. med. Susanne Schröder, Dr. Nicole Martin"                                       ,                                  , Darmstadt          ,         , +49 6182 3960                , http://gemeinschaftspraxis-seligenstadt.de/                                                                  ,                                                                                      , osm/Darmstadt
Dr. med. Jaqueline Jacobi                                                            , Arnoldshainer Straße 5           , Frankfurt am Main  ,    60489, +4969781078                  , https://www.hausarzt-jacobi.de/                                                                              ,                                                                                      , osm/Darmstadt
Gemeinschaftspraxis Mozartstrasse                                                    ,                                  , Darmstadt          ,         , +49 6104 68965560            ,                                                                                                              ,                                                                                      , osm/Darmstadt
Büchler - Familienpraxis an der Mümling                                              , Erbacher Straße 21               , Höchst im Odenwald ,    64739, +49 6163 3362                ,                                                                                                              ,                                                                                      , osm/Darmstadt
Hausarztpraxis am Pfarrmorgen                                                        ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
"Hausärzte Rödermark, Hausarztpraxis"                                                , Senefelder 8                     , Rödermark          ,    63322, +49607498687                 , https://www.hausaerzte-roedermark.de/                                                                        , kontakt@hausaerzte-roedermark.de                                                     , osm/Darmstadt
Amin Nasraty                                                                         ,                                  , Darmstadt          ,         , +49 6138 6999                ,                                                                                                              ,                                                                                      , osm/Darmstadt
Unknown                                                                              ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Hausarztpraxis Carlo Buttron                                                         ,                                  , Darmstadt          ,         ,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Praxis für Allgemeinmedizin - Amin Rouhollahpour                                     , August-Bebel-Straße 7            , Dreieich           ,    63303, +49 6103 68020               , https://allgemeinpraxis-dreieich.de/                                                                         , rezepte@allgemeinpraxis-dreieich.de                                                  , osm/Darmstadt
Dr. med. Ranecky                                                                     , Hegelstraße 63                   , Dreieich           ,    63303, +49 6103 311844              ,                                                                                                              ,                                                                                      , osm/Darmstadt
Dr. med Heinz Walter                                                                 , Hegelstraße 63                   , Dreieich           ,    63303, +49 6103 61014               ,                                                                                                              ,                                                                                      , osm/Darmstadt
Ärztlicher Bereitschaftsdienst                                                       , Lindenstraße 10                  , Hofheim am Taunus  ,    65719,                              , https://www.bereitschaftsdienst-hessen.de                                                                    ,                                                                                      , osm/Darmstadt
Dr. med. Mihaela Vlase                                                               , Heimstättenweg 50                , Darmstadt          ,    64295,                              ,                                                                                                              ,                                                                                      , osm/Darmstadt
