Name,Address,City,Postcode,Phone,Website,Emails,Source
Dr. Rainer Dorff,,Freiburg,,,https://www.dr-dorff.de/,praxis@dr-dorff.de,osm/Freiburg
Felizita Bantle,Stühlingerstraße 1,Freiburg im Breisgau,79106,+49 761 289228,,,osm/Freiburg
Hausärztliche Gemeinschaftspraxis,Tennenbacher Straße 42,Freiburg,79106,+49 761 273986,http://www.schmitthenner-nelting.de/,,osm/Freiburg
Dr. med. Claudia Gerards,Kartäuserstraße 49a,Freiburg im Breisgau,79102,,,,osm/Freiburg
Arztpraxis Dr. med. Ralf Becker,Breisgauer Straße 53,Freiburg im Breisgau,79110,+49 761 83667,https://dr-becker-freiburg-lehen.de.tl/,praxisdrbecker@web.de,osm/Freiburg
"Mund Joachim Dr. med., Gorenflos Frank Dr. med. Allgemeinärzte",Hauptstraße 37,Elzach,79215,,,,osm/Freiburg
Dr. med. Friedrich von Flotow & Dr. Petra Robben-Bathe,,Freiburg,,,,,osm/Freiburg
Dr. med. Andrea Weninger;Dr. med. Brigitte Betz,Stadtstraße 55,Freiburg im Breisgau,79104,,,,osm/Freiburg
Dr. med. Klaus Michaelis,,Freiburg,,+49 761 2 44 33,https://www.dr-med-michaelis.de/,info@dr-med-michaelis.de,osm/Freiburg
Dr. med. Christiane Guderian,,Freiburg,,+49 761 365 01,https://www.praxis-guderian.de/,info@praxis-guderian.de,osm/Freiburg
Dr. Peter Mathieu,,Freiburg,79098,+49 761 35710,,,osm/Freiburg
Thum & Deissler,Moosmattenstraße 23,Freiburg im Breisgau,79117,,https://thum-deissler.de/,thum-deissler@t-online.de; rezepte@thum-deissler.de,osm/Freiburg
Dietmar Ludin,,Freiburg,,+49 761 58810,,,osm/Freiburg
Dr. Monika Schäffner,,Freiburg,,+49 761 580444,,,osm/Freiburg
"Dr. med. Robert Sarhatlic-Vögtle, Daniel-Raja De",Alte Bundesstraße 39,Gundelfingen,79194,+49 761 581332,,,osm/Freiburg
Dr. med. S. Löffler Facharzt für Allgemeinmedizin,,Freiburg,,,,,osm/Freiburg
Dr. med. Carolin Hauenstein,Richard-Müller-Straße 3a,Breisach am Rhein,79206,+4976672070380,https://www.arztpraxis-hauenstein.de,info@arztpraxis-hauenstein.de,osm/Freiburg
Allgemeinarzt,,Freiburg,,,,,osm/Freiburg
Dr. Helmut Pröllochs & Dr. Barbara Melzer,Hauptstraße 17,March,79232,+49 7665 1243,,,osm/Freiburg
Dr Karin Vogeler,Fuhrmannsgasse 2,Freiburg im Breisgau,79108,,,,osm/Freiburg
Haus.Arzt.Praxis – Staufen,,Freiburg,79219,+49 7633 83355,https://www.haus-arzt-praxis.org/,,osm/Freiburg
Martin Hellwig,Auf dem Graben 3a,Staufen im Breisgau,79219,+49 7633 7988,https://www.mein-hausarzt-in-staufen.de/,info@mein-hausarzt-in-staufen.de,osm/Freiburg
Dermazentrum Freiburg,Günterstalstraße 54,Freiburg im Breisgau,79100,+49 761 75011,https://dermazentrum-muenchen.de/standorte/dermazentrum-freiburg/,info@dzm-muenchen.de; info@dzm-freiburg.de,osm/Freiburg
"Hans Linkel-Velling, Dr. Oliver Gut",Alte Bundesstraße 80,Gundelfingen,79194,+49 761 60060390,http://www.die-hausaerzte-im-aerztehaus.de,info@die-hausaerzte-im-aerztehaus.de,osm/Freiburg
Alexander Heisler,Bahnhofstraße 3,Teningen,79331,,,,osm/Freiburg
"Wolfgang Wernicke - Arzt für Allgemeinmedizin, Chirotherapie",,Freiburg,,,,,osm/Freiburg
Dr. med. Daniela Zimmerlin - Ärztin,,Freiburg,,,,,osm/Freiburg
"Emanuel Jauch - Facharzt für Allgemeinmedizin, Notfallmedizin",,Freiburg,,,,,osm/Freiburg
Dr. Peter Weigel,Dorfstraße 5,Merzhausen,79249,,,,osm/Freiburg
Dr. B. Weis (Allgemeinmedizin),Friedrichstraße 2,Furtwangen im Schwarzwald,78120,+49 7723 7814,https://hausarztpraxis-dr-weis-furtwangen.de,dr.weis-furtwangen@t-online.de,osm/Freiburg
"Dr. med. Claudia Völter-Jans, Dr. med. Michael Ley",,Freiburg,,,,,osm/Freiburg
Praxiszentrum Friedrichstraße,Friedrichstraße 52,Ettenheim,77955,,https://praxiszentrum-ettenheim.de,info@praxiszentrum-ettenheim.de,osm/Freiburg
Dr. Stefan Rupp,,Freiburg,,+49 761 69 449,https://www.doktor-rupp.de/,info@doktor-rupp.de,osm/Freiburg
Dr. med. Ralf Schneider,,Freiburg,,+49 7641 1362,http://praxis-dr-ralf-schneider.com/,dr.schneideremmendingen@web.de,osm/Freiburg
Praxis Dr. med. Bärbel Sydow,,Freiburg,,+49 7641 4688180,https://www.praxis-sydow.de/,info@praxis-sydow.de,osm/Freiburg
Frau Dr. med. Anita Pieper,Ritterstraße 3/5,Endingen am Kaiserstuhl,79346,+49 7642 913140,,,osm/Freiburg
Dr. Heike Krogull & Franziska von Lukowicz – Hausärztinnen in  Endingen,Carl-Lösch-Straße 16,Endingen am Kaiserstuhl,79346,+49 7642 3407,https://hausarzt-endingen.de,info@hausarzt-endingen.de,osm/Freiburg
Dr. Ulrich Maroska,Hauptstraße 44,Endingen am Kaiserstuhl,79346,,http://www.maroska.de/,,osm/Freiburg
Dr. med. Wolf-Jakob Neff,Königschaffhauser Straße 21,Endingen am Kaiserstuhl,79346,,,,osm/Freiburg
Gemeinschaftspraxis Mez,Tennenbacher Straße 37,Freiburg,,+49 761 289432,https://praxis-mez.de/,info@praxis-mez.de,osm/Freiburg
Praxis Hipp/Exner,Werderstraße 45,Müllheim im Markgräflerland,79379,+4976316393,,,osm/Freiburg
Unknown,Am Bus 14,Freiburg,,,,,osm/Freiburg
Dr. med. Offner,,Freiburg,,+49 7661 39059970,https://praxisoffner.de,info@praxisoffner.de,osm/Freiburg
"Praxis Kollnau, Ärzte für Allgemeinmedizin",Kollnauer Straße 19,Waldkirch,79183,+49 7681 4933777,https://www.praxis-kollnau.de/,,osm/Freiburg
Dr. D. Balan-Chirila,Meckelhof 5,Freiburg im Breisgau,79110,+49 761 61164625,,,osm/Freiburg
Hausarzt Wilfried Jacke,Hildastraße 1,Waldkirch,79183,+49 7681 1605,http://www.hausarzt-waldkirch.de,info@hausarzt-kollnau.de,osm/Freiburg
Arztpraxis Dr. Jan Duis,Freie Straße 2,Waldkirch,79183,+49 7681 6378,,,osm/Freiburg
Mischke-Finner / Carl,Im Moos 5,Freiburg im Breisgau,79112,+49 7665 6360,https://www.hausarztpraxis-waltershofen.de/,rezepte.praxis@web.de,osm/Freiburg
Praxiszentrum Malterdingen,Hauptstraße 19,Malterdingen,79364,+49 7644 7660,https://praxiszentrum-malterdingen.de,info@praxiszentrum-malterdingen.de,osm/Freiburg
"Praxis B80 - Dr. med. Silke van Vugt-Bleif, Dr. med. Claudia Schultz",Alte Bundesstraße 80,Gundelfingen,79194,+49 761 55623555,https://praxisb80.it-einfach.info/,,osm/Freiburg
Dr. med. Rimma Ilyasova,Marckolsheimer Straße 1,Sasbach am Kaiserstuhl,79361,+49 7642 9205060,https://www.arztsuche-bw.de/index.php?suchen=1&id_z_arzt_praxis=34671,praxis@drsasbach.de,osm/Freiburg
Praxis Dr. Bock-Hennig,Marktplatz 15,Waldkirch,79183,,,,osm/Freiburg
Praxis Dr. Michael Wiederkehr,Hauptstraße 49,Freiamt,79348,+49 7645 251,,,osm/Freiburg
Hubertus Jahn,Zähringer Straße 324,Freiburg im Breisgau,79108,+49 761 54986,https://www.hausarztpraxis-jahn.de/,kontakt@hausarztpraxis-jahn.de,osm/Freiburg
Andreas Schwald,,Freiburg,,+49 761 36679,,,osm/Freiburg
Hexentalpraxis für Allgemein- und Familienmedizin Dr. med. Karl M. Strosing,Staufener Straße 2b,Sölden,79294,+49 761 407704,https://hexentalpraxis.de/,praxisteam@hexentalpraxis.de,osm/Freiburg
Dr. med. Delia Kauffmann,Erbprinzenstraße 22,Freiburg im Breisgau,79098,+49 7612 83837,https://dr-delia-kauffmann.de,,osm/Freiburg
Gemeinschaftspraxis Kraaz und Szczeponik,,Freiburg,,+49 761 22788,https://www.hausaerzte-an-der-uni.de/,,osm/Freiburg
Hausarztpraxis Bromberghof,,Freiburg,,+49 761 8879100,https://www.hausarztpraxis-bromberghof.de/,kontakt@mvz-bewegt.de; benutzer@domain.com,osm/Freiburg
Gemeinschaftspraxis Blochackerweg 5,,Freiburg,,+49 761 4774655,https://aerztehaus-freiburg-sued.de,,osm/Freiburg
Praxis-Zentrum Wiehre,Günterstalstraße 11,Freiburg im Breisgau,79102,+49 761 791880,https://www.praxiszentrum-wiehre.de/,kontakt@praxiszentrum-wiehre.de,osm/Freiburg
Arztpraxis Dr. Klingele,Freiburger Straße 10,Hinterzarten,79856,,https://www.doktorklingele.de/,info@doktorklingele.de; bklingele@versanet.de,osm/Freiburg
"Praxisgemeinschaft Hugenschmidt, Neuhauser, Goetschi",Hauptstraße 104,Müllheim im Markgräflerland,79379,+49 7631 4048,https://www.dr-hugenschmidt.de/,,osm/Freiburg
Dr Haeffele Françoise,,Freiburg,,,,,osm/Freiburg
Dr. med. Sabina Renner,Fuchsstraße 10,Freiburg im Breisgau,79102,+49 761 35765,https://www.dr-sabina-renner.de,,osm/Freiburg
Dr. med. Peter Krimmel & Martin Reisch,Hirschenweg 6,Stegen,79252,,,,osm/Freiburg
Praxis für Allgemeinmedizin | Natascha Lampe,Kartäuserstraße 3,Freiburg im Breisgau,79102,+49 761 303 55,https://praxislampe.com,kontakt@praxislampe.com,osm/Freiburg
Praxis Dr. Karin Höwer,,Freiburg,,+49 761 706972,https://www.praxis-hoewer.com/,info@praxis-hoewer.com,osm/Freiburg
Dr. med. Stefan Rahner,,Freiburg,,+49 761 71759,https://stefan-rahner.de/,praxis.dr.stefan.rahner@freiburg.de,osm/Freiburg
Johanna Wolf,Vaubanallee 53,Freiburg im Breisgau,79100,+49 761 4762144,,,osm/Freiburg
Hausarztpraxis Dr. Bulling und Dr. Reber,Christoph-Mang-Straße 18-20,Freiburg im Breisgau,79100,+49 761 402034,https://www.praxis-bulling-reber.de,kontakt@praxis-bulling-reber.de,osm/Freiburg
Dreisam-Praxis,Schwarzwaldstraße 1,Freiburg im Breisgau,79117,,,,osm/Freiburg
Hausarztpraxis Geier Mathildenstraße,Mathildenstraße 16,Freiburg im Breisgau,79106,+49 761 272503,https://hausarztpraxis-geier.de/,info@hausarztpraxis-geier.de,osm/Freiburg
Praxis am Dorfbrunnen,,Freiburg,,+49 7665 9382030,https://praxis-am-dorfbrunnen.de/,mail@praxis-am-dorfbrunnen.de,osm/Freiburg
